Year,CASINO,GAMING MACHINES,INTERACTIVE GAMING,KENO,LOTTERIES,MINOR GAMING,WAGERING,TOTAL
1999,2193.492,6852.337,0.136,178.319,1297.0182,164.541,1752.578,12438.4212
2000,2362.515,7654.131,5.387,183.18,1306.587171,33.3288,1768.42,13313.54897
2001,2543.32,8319.589,14.772,176.564,1427.191912,29.6338,1838.059,14349.12971
2002,2543.342,8916.182,15.174,102.533,1439.820751,28.264,1957.04707,15002.36282
2003,2555.687,9076.758,18.543,136.448,1560.081,27.666,2067.175,15442.358
2004,2696.602,9547.33,14.688,187.95,1600.938,22.149,2177.162,16246.819
2005,2638.622,10095.536,14.1,208.547,1626.897,22.171,2308.349,16914.222
2006,2931.46012,10380.76263,14.753,210.846,1682.77281,21.195,2375.277105,17617.06667
2007,3085.285,10579.125,6.812,201.729,1749.60054,21.176,2569.110033,18212.83757
2008,3210.922509,10184.15999,3.771,228.4436063,1855.967365,22.31,2594.481028,18100.05549
2009,3462.952,10468.35219,0.761,260.0580493,1995.991292,23.224,2827.824866,19039.1634
2010,3519.993474,10223.30996,0,261.8501068,1489.676719,19.925,2941.331741,18456.087
2011,3693.932859,10623.50762,0,285.192306,1775.171,24.806,3018.795761,19421.40554
2012,4081.09167,10911.18559,0,307.151917,1968.269108,24.312,3256.753018,20548.76331
2013,4119.386024,10827.92943,0,321.224777,2153.660892,25.164,3348.181238,20795.54636
2014,4388.749106,11052.39451,0,327.1599135,1953.090642,26.804,3533.449444,21281.64762
2015,5174.264568,11588.90726,0,326.7941647,1993.238249,23.09,3801.976129,22908.27037
2016,5194.865141,12074.258,0.008,345.8441724,2138.303275,31.77,4019.60215,23804.65074
2017,4790.040525,12136.2325,0.004565,356.7895432,2003.228764,34.35,4376.965397,23697.61129
2018,5100.582803,12520.42209,0.001,354.6701947,2095.340053,34.61,4946.738544,25052.36468
2019,4859.857494,12717.24817,0.818,358.5121214,2583.756041,31.913,5030.123969,25582.2288
2020,3514.29804,10198.20409,3.79,306.5387211,2624.116595,29.2,4583.262127,21259.40957
2021,2728.641241,12182.11952,11.127,419.4654375,2838.107948,44.613,5788.48444,24012.55859
2022,2830.671521,12833.28508,18.136,412.3929572,3142.681337,50.8961287,8265.873484,27553.93651
2023,3611.704682,15764.70061,44.403,473.1833458,3108.552269,61.00475661,8402.635679,31466.18434
2024,3465.158342,16293.06811,0,469.1192628,3476.877539,51.315572,8428.975411,32184.51424
